Real Part,Frequency (Hz)
-19.953673455684807,820.6732445194905
-19.953673455701626,820.673244519501
-48.17262021222278,2436.4776545316417
-48.17262021222933,2436.4776545316417
-50.87140163522214,2157.4785502882132
-50.87140163524333,2157.4785502882123
-56.985149612130975,10822.87255306881
-56.98514961229616,10822.872553068839
-62.92489473124384,10399.577963385012
-62.92489473124421,10399.57796338502
-66.51433388391142,13117.666301214334
-66.5143338840308,13117.666301214367
-71.27421780072174,12120.265734005914
-71.27421780077383,12120.265734005861
-81.22478017775101,6304.274487913575
-81.22478017790831,6304.274487913635
-85.03663859533202,17873.273646622125
-85.03663859568448,17873.273646622052
-92.48287755944898,3275.355598785831
-92.48287755949075,3275.3555987858454
-99.7596135626669,4260.652818088887
-99.75961356267726,4260.652818088876
-109.89653469525031,5250.131138544693
-109.89653469528275,5250.131138544715
-111.20019861012008,3936.043521881665
-111.20019861012555,3936.0435218816856
-142.3026027959297,5562.891151760852
-142.30260279600435,5562.891151760858
-147.23015736147838,4652.009263605049
-147.23015736155037,4652.00926360505
-151.6671154570621,1095.2325941825604
-151.66711545708554,1095.232594182561
-158.5279980904869,1526.8367267581336
-158.52799809050575,1526.836726758127
-168.4876397451751,334.2470088024007
-168.48763974519096,334.2470088023947
-172.18421791786636,7599.459878745103
-172.18421791787554,7599.45987874518
-217.23424355092536,4945.954469390768
-217.23424355103626,4945.954469390754
-238.18195735013592,1763.0414178112305
-238.18195735013822,1763.0414178112367
-239.9870491839092,11615.766503190018
-239.9870491839693,11615.766503190052
-244.17555876325454,17741.30096000122
-244.17555876399297,17741.300960001216
-263.6565665287111,16749.63788145186
-263.6565665287281,16749.637881451894
-272.80692627802813,15326.35789692833
-272.80692627805297,15326.357896928437
-293.2492480770927,19628.956211990688
-293.24924807711693,19628.956211990637
-306.5828649785681,7098.391787273935
-306.582864978695,7098.391787273964
-309.26513200408226,8490.828508537046
-309.26513200414325,8490.82850853705
-317.81021447648396,9276.973232572635
-317.81021447670304,9276.973232572587
-323.801742542889,15600.99112502817
-323.80174254301346,15600.99112502808
-332.36880892622844,14909.138204195591
-332.36880892629426,14909.138204195659
-336.34006752848444,6455.5938922555515
-336.3400675285286,6455.5938922555415
-347.50425469737297,11246.261751181397
-347.5042546974261,11246.261751181388
-353.8363397626604,13933.570594214876
-353.8363397628526,13933.570594214882
-392.34814769476304,15951.049246006005
-392.34814769484944,15951.04924600595
-405.9005197674195,2989.5940797839435
-405.90051976748686,2989.59407978393
-413.5818965207954,13552.142125407598
-413.5818965208415,13552.14212540759
-449.0977811929555,7930.672166755434
-449.0977811929639,7930.672166755455
-488.08954933155223,742.4765895590526
-488.0895493315847,742.4765895590679
-567.3070763800274,17823.56268326496
-567.3070763811928,17823.562683264925
-573.6540344172126,17067.334287796595
-573.6540344174024,17067.334287796548
-599.1995260133998,18790.462877258353
-599.1995260134538,18790.462877258473
-600.5708160745305,17345.5825890677
-600.5708160747877,17345.58258906772
-632.7104592746235,9004.192341741866
-632.7104592747572,9004.19234174187
-653.5578120593927,19910.513650673445
-653.5578120596181,19910.51365067356
-667.9119254097934,20172.276728567587
-667.9119254098187,20172.276728567642
-669.6707224274452,14708.611134672832
-669.6707224275502,14708.61113467284
-692.497219676349,12487.2178394715
-692.4972196766009,12487.217839471537
-710.576104991703,12294.056497754224
-710.5761049919487,12294.0564977543
-749.0310154406963,16197.051674898701
-749.0310154407889,16197.051674898752
-762.2589650519106,8174.745297783026
-762.2589650519469,8174.745297782986
-762.8164302476196,10037.616988067468
-762.8164302476872,10037.616988067439
-794.3904090126686,19275.16808484514
-794.3904090129926,19275.168084845107
-824.5533488287318,18502.07810207282
-824.5533488288482,18502.078102072894
-829.5583480134192,14204.472430688867
-829.5583480138205,14204.472430688911
-844.3346771183908,16548.65315663414
-844.3346771186256,16548.653156634227
-920.2929085601675,19129.361293734928
-920.2929085605444,19129.36129373464
-932.676700274322,18209.14149876271
-932.6767002744576,18209.14149876266
-978.2553319098325,7030.009472030066
-978.2553319099466,7030.009472030024
-984.0473108034083,9429.869899190851
-984.0473108036422,9429.869899190857
-987.8701316021187,10765.998579911782
-987.8701316024053,10765.998579911782
-1178.6896385956475,3454.9323039250226
-1178.6896385956502,3454.932303924994
-1184.409445011615,12776.939865454759
-1184.4094450122266,12776.939865454806
-1189.4043009900304,5950.921398524313
-1189.4043009901488,5950.921398524282
-1249.5361193399406,14497.33340327139
-1249.5361193402134,14497.33340327136
-1338.938577895797,20.29401302854252
-1338.9385778970639,20.294013028579492
-1404.0228456388143,9644.904918866932
-1404.022845639126,9644.90491886697
-1664.1451312869642,13250.925302489988
-1664.145131287119,13250.925302490003
-1836.7810059831243,3959.6146972842134
-1836.781005983219,3959.614697284199
-2201.1120893645993,6443.723390963214
-2201.1120893647912,6443.723390963248
-2202.495401018384,2497.504436261673
-2202.4954010186257,2497.5044362617045
-2257.7376281556003,8387.160718776702
-2257.737628155782,8387.160718776748
-2616.9399599159274,11273.262947679817
-2616.939959915944,11273.262947679877
-8580.1699443975,4902.468695284482
-8580.169944397841,4902.468695284593
-21444.117610387417,22049.99166666731
