Real Part,Frequency (Hz)
-395.95550013162006,11656.090851676758
-427.72530368140696,20139.99754657616
-466.8475020358668,11947.837050324211
-471.61687922721757,8526.302862403298
-475.5870901834321,9124.440618031469
-478.88605887632855,11348.2239301964
-483.5581083270114,8232.847556073526
-485.6952593648603,9426.706872283516
-497.1837634289517,8826.010847437074
-499.09263083140024,15274.677258411728
-505.7873451508701,19428.349553134933
-524.2087990803466,11068.729878737495
-530.4937074341176,13635.082690262849
-535.274906726436,4023.261119569826
-570.8263657336745,1124.6924318126335
-584.116004289114,18647.76234786424
-601.430447220375,19660.03464075305
-603.2772892519763,14235.965719102642
-611.305634776646,18930.2336936797
-613.7266129342063,12234.096006419873
-617.711110205907,3150.5361478737277
-630.4570257071493,2579.6770993140885
-632.1608902473188,5999.473442359611
-635.8063765494087,9731.401615272935
-649.042467776559,19149.5389860134
-656.6732488879063,13056.23741110912
-659.0753836920826,10743.933369962964
-663.8735323706619,15583.299905693977
-671.0941353215771,18395.797238170184
-671.3581277647239,10461.273122037936
-673.5246009623203,13918.333745975986
-674.0565140633978,3681.568385064609
-675.3898087421821,13344.51405801644
-678.0752273631649,19903.149840601272
-682.6145166416494,17363.10817289933
-692.328277401666,16442.90799784662
-698.0988012629005,477.3170944384234
-711.0112268680208,7637.343511126271
-716.4825470350282,153.1635070256236
-721.0229381435911,15880.104993308922
-721.9286527292909,16139.417687270068
-727.9768472363523,4300.408866466771
-729.3893682130972,16726.01778060659
-734.6981611644472,7936.238815813004
-740.1428377905902,1449.8659498328775
-744.9074699370303,5108.097435352999
-778.7125006770632,6336.984870913801
-778.7595609904711,5685.186556087754
-809.8363306685111,2884.377229172703
-810.3908862309846,18135.399658013048
-820.3027197627481,7333.988306895901
-821.493379953692,2256.831579416086
-835.9880389943697,5413.98010287749
-871.8951535779621,17768.20734307693
-887.2398556475667,1995.3948178105716
-897.0496097809278,863.7045421832029
-900.4233322909324,14975.119685347607
-930.343577413194,17009.47053959734
-939.5554128566665,6992.404340724796
-948.1776457481167,14494.756564490583
-961.5383351905743,6623.046578210347
-1024.9736130428348,9959.223322575064
-1039.7504492846829,14813.237332627312
-1050.5026057283985,10190.727252516304
-1059.9833486407217,12759.583535646352
-1114.5420027684522,1715.227886926635
-1125.4039856757486,12512.599462530243
-1125.9675614114508,4655.743146558131
-1189.7796907033862,3386.9817505510614
-1560.4483127922165,17770.295329515156
-1590.4276915180242,4826.202749485717
-2192.44358734446,6970.0886709375545
-30598.06609680633,8481.41551497264
